Code,Department,Expenditure Class,FY20 Actual,FY21 Adopted Budget,FY21 Current Target,FY22 Estimate,FY23 Estimate,FY24 Estimate,FY25 Estimate,FY26 Estimate
34,ART MUSEUM SUBSIDY,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,class_500,2550000,2040000.0,2040000.0,2040000.0,2040000.0,2040000.0,2040000.0,2040000.0
34,ART MUSEUM SUBSIDY,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,total,2550000,2040000.0,2040000.0,2040000.0,2040000.0,2040000.0,2040000.0,2040000.0
18,ATWATER KENT MUSEUM,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,total,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,AUDITING,class_100,9466389,9045839.0,9045839.0,8955839.0,8955839.0,8955839.0,8955839.0,8955839.0
61,AUDITING,class_200,496971,497450.0,497450.0,497450.0,497450.0,497450.0,497450.0,497450.0
61,AUDITING,class_300_400,20603,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
61,AUDITING,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,AUDITING,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,AUDITING,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,AUDITING,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,AUDITING,total,9983963,9568289.0,9568289.0,9478289.0,9478289.0,9478289.0,9478289.0,9478289.0
45,BOARD OF ETHICS,class_100,922164,915196.0,915196.0,915196.0,915196.0,915196.0,915196.0,915196.0
45,BOARD OF ETHICS,class_200,42474,52500.0,52500.0,52500.0,52500.0,52500.0,52500.0,52500.0
45,BOARD OF ETHICS,class_300_400,4112,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
45,BOARD OF ETHICS,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,BOARD OF ETHICS,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,BOARD OF ETHICS,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,BOARD OF ETHICS,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
