Code,Department,Expenditure Class,FY21 Actual,FY22 Adopted Budget,FY22 Current Target,FY23 Estimate,FY24 Estimate,FY25 Estimate,FY26 Estimate,FY27 Estimate
34,ART MUSEUM SUBSIDY,class_100,0,0.0,0.0,0,0,0,0,0
34,ART MUSEUM SUBSIDY,class_200,0,0.0,0.0,0,0,0,0,0
34,ART MUSEUM SUBSIDY,class_300_400,0,0.0,0.0,0,0,0,0,0
34,ART MUSEUM SUBSIDY,class_500,2040000,2040000.0,2040000.0,2040000,2040000,2040000,2040000,2040000
34,ART MUSEUM SUBSIDY,class_700,0,0.0,0.0,0,0,0,0,0
34,ART MUSEUM SUBSIDY,class_800,0,0.0,0.0,0,0,0,0,0
34,ART MUSEUM SUBSIDY,class_900,0,0.0,0.0,0,0,0,0,0
34,ART MUSEUM SUBSIDY,total,2040000,2040000.0,2040000.0,2040000,2040000,2040000,2040000,2040000
61,AUDITING,class_100,9311029,9330839.0,9785988.0,10285869,10542386,10542386,10542386,10542386
61,AUDITING,class_200,496985,497450.0,497450.0,497450,497450,497450,497450,497450
61,AUDITING,class_300_400,16746,25000.0,25000.0,25000,25000,25000,25000,25000
61,AUDITING,class_500,0,0.0,0.0,0,0,0,0,0
61,AUDITING,class_700,0,0.0,0.0,0,0,0,0,0
61,AUDITING,class_800,0,0.0,0.0,0,0,0,0,0
61,AUDITING,class_900,0,0.0,0.0,0,0,0,0,0
61,AUDITING,total,9824760,9853289.0,10308438.0,10808319,11064836,11064836,11064836,11064836
45,BOARD OF ETHICS,class_100,801988,915196.0,938750.0,1121902,1128700,1128700,1128700,1128700
45,BOARD OF ETHICS,class_200,14301,52500.0,52500.0,52500,52500,52500,52500,52500
45,BOARD OF ETHICS,class_300_400,1236,7500.0,7500.0,7500,7500,7500,7500,7500
45,BOARD OF ETHICS,class_500,0,0.0,0.0,0,0,0,0,0
45,BOARD OF ETHICS,class_700,0,0.0,0.0,0,0,0,0,0
45,BOARD OF ETHICS,class_800,0,0.0,0.0,0,0,0,0,0
45,BOARD OF ETHICS,class_900,0,0.0,0.0,0,0,0,0,0
45,BOARD OF ETHICS,total,817525,975196.0,998750.0,1181902,1188700,1188700,1188700,1188700
63,BOARD OF REVISION OF TAXES,class_100,1002561,997835.0,1019348.0,1057610,1061773,1061773,1061773,1061773
63,BOARD OF REVISION OF TAXES,class_200,33630,37900.0,37900.0,37900,37900,37900,37900,37900
63,BOARD OF REVISION OF TAXES,class_300_400,13458,17727.0,17727.0,17727,17727,17727,17727,17727
63,BOARD OF REVISION OF TAXES,class_500,0,0.0,0.0,0,0,0,0,0
63,BOARD OF REVISION OF TAXES,class_700,0,0.0,0.0,0,0,0,0,0
63,BOARD OF REVISION OF TAXES,class_800,0,0.0,0.0,0,0,0,0,0
63,BOARD OF REVISION OF TAXES,class_900,0,0.0,0.0,0,0,0,0,0
63,BOARD OF REVISION OF TAXES,total,1049649,1053462.0,1074975.0,1113237,1117400,1117400,1117400,1117400
73,CITY COMMISSIONERS,class_100,8293480,8413534.0,10936150.0,10927174,11149717,11149717,11149717,11149717
73,CITY COMMISSIONERS,class_200,9661241,6862101.0,6085101.0,15485101,14390101,17872965,14390101,14390101
73,CITY COMMISSIONERS,class_300_400,2904520,2771217.0,4148309.0,2649217,2680217,2944183,2680217,2680217
73,CITY COMMISSIONERS,class_500,12000,0.0,0.0,0,0,0,0,0
73,CITY COMMISSIONERS,class_700,0,0.0,0.0,0,0,0,0,0
73,CITY COMMISSIONERS,class_800,0,0.0,0.0,0,0,0,0,0
73,CITY COMMISSIONERS,class_900,0,0.0,0.0,0,0,0,0,0
73,CITY COMMISSIONERS,total,20871241,18046852.0,21169560.0,29061492,28220035,31966865,28220035,28220035
01,CITY COUNCIL,class_100,14051449,15627138.0,15853058.0,16325560,16325560,16325560,16325560,16325560
01,CITY COUNCIL,class_200,2726178,2521885.0,3114885.0,5021885,2521885,2521885,2521885,2521885
01,CITY COUNCIL,class_300_400,223919,528650.0,528650.0,528650,528650,528650,528650,528650
01,CITY COUNCIL,class_500,8000,100.0,100.0,100,100,100,100,100
01,CITY COUNCIL,class_700,0,0.0,0.0,0,0,0,0,0
01,CITY COUNCIL,class_800,0,100.0,100.0,100,100,100,100,100
01,CITY COUNCIL,class_900,0,100.0,100.0,100,100,100,100,100
01,CITY COUNCIL,total,17009546,18677973.0,19496893.0,21876395,19376395,19376395,19376395,19376395
40,CITY TREASURER,class_100,1230203,1395075.0,1447348.0,1579598,1601416,1601416,1601416,1601416
40,CITY TREASURER,class_200,473859,3323698.0,3181468.0,3116468,3116468,3116468,3116468,3116468
40,CITY TREASURER,class_300_400,10742,22224.0,22224.0,22224,22224,22224,22224,22224
40,CITY TREASURER,class_500,0,0.0,0.0,0,0,0,0,0
40,CITY TREASURER,class_700,0,0.0,0.0,0,0,0,0,0
40,CITY TREASURER,class_800,0,0.0,0.0,0,0,0,0,0
40,CITY TREASURER,class_900,0,0.0,0.0,0,0,0,0,0
40,CITY TREASURER,total,1714804,4740997.0,4651040.0,4718290,4740108,4740108,4740108,4740108
55,CIVIL SERVICE COMMISSION,class_100,140533,177148.0,179944.0,180988,183057,183057,183057,183057
55,CIVIL SERVICE COMMISSION,class_200,29500,29500.0,29500.0,29500,29500,29500,29500,29500
55,CIVIL SERVICE COMMISSION,class_300_400,0,1094.0,1094.0,1094,1094,1094,1094,1094
55,CIVIL SERVICE COMMISSION,class_500,0,0.0,0.0,0,0,0,0,0
55,CIVIL SERVICE COMMISSION,class_700,0,0.0,0.0,0,0,0,0,0
55,CIVIL SERVICE COMMISSION,class_800,0,0.0,0.0,0,0,0,0,0
55,CIVIL SERVICE COMMISSION,class_900,0,0.0,0.0,0,0,0,0,0
55,CIVIL SERVICE COMMISSION,total,170033,207742.0,210538.0,211582,213651,213651,213651,213651
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_100,0,0.0,0.0,0,0,0,0,0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_200,0,0.0,0.0,0,0,0,0,0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_300_400,0,0.0,0.0,0,0,0,0,0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_500,0,0.0,0.0,0,0,0,0,0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_700,0,0.0,0.0,0,0,0,0,0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_800,0,0.0,0.0,0,0,0,0,0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_900,0,25000000.0,9889279.0,54000000,63000000,96000000,133000000,171000000
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,total,0,25000000.0,9889279.0,54000000,63000000,96000000,133000000,171000000
42,COMMERCE,class_100,2499341,3614341.0,3681294.0,5380613,5596145,5596145,5596145,5596145
42,COMMERCE,class_200,816298,10499099.0,10060549.0,9560549,8560549,5563713,5563713,5563713
42,COMMERCE,class_300_400,6374,26654.0,26654.0,62654,26654,26654,26654,26654
42,COMMERCE,class_500,0,500000.0,500000.0,505000,505000,505000,505000,505000
42,COMMERCE,class_700,0,0.0,0.0,0,0,0,0,0
42,COMMERCE,class_800,0,0.0,0.0,0,0,0,0,0
42,COMMERCE,class_900,0,0.0,0.0,0,0,0,0,0
42,COMMERCE,total,3322013,14640094.0,14268497.0,15508816,14688348,11691512,11691512,11691512
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_100,0,0.0,0.0,0,0,0,0,0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_200,15010679,15000000.0,15000000.0,15000000,15000000,15000000,15000000,15000000
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_300_400,0,0.0,0.0,0,0,0,0,0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_500,0,0.0,0.0,0,0,0,0,0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_700,0,0.0,0.0,0,0,0,0,0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_800,0,0.0,0.0,0,0,0,0,0
